S,T,W,CW,maxTime,avgTime,InitBlocking1,InitBlocking2,InitBlocking3,InitBlocking4,InitBlocking5,InitBlocking6,InitBlocking7,InitBlocking8,InitBlocking9,InitBlocking10,InitBlocking11,InitBlocking12,InitBlocking13,InitBlocking14,InitBlocking15,InitBlocking16,InitBlocking17,InitBlocking18,InitBlocking19,InitBlocking20,InitBlocking21,InitBlocking22,InitBlocking23,InitBlocking24,InitBlocking25,InitBlocking26,InitBlocking27,InitBlocking28,InitBlocking29,InitBlocking30,AvgBlocking,instance1,instance2,instance3,instance4,instance5,instance6,instance7,instance8,instance9,instance10,instance11,instance12,instance13,instance14,instance15,instance16,instance17,instance18,instance19,instance20,instance21,instance22,instance23,instance24,instance25,instance26,instance27,instance28,instance29,instance30,AvgInstance
10,9,8,8,1.30E+01,1.10E+00,3.75E+01,4.25E+01,3.97E+01,3.73E+01,4.17E+01,3.47E+01,3.62E+01,4.07E+01,4.04E+01,34,44,3.52E+01,4.12E+01,41,4.22E+01,3.87E+01,4.05E+01,4.18E+01,3.92E+01,4.52E+01,3.62E+01,39,4.18E+01,3.83E+01,3.75E+01,4.16E+01,4.05E+01,38,3.25E+01,4.25E+01,3.94E+01,1.76E+01,2.66E+01,1.67E+01,1.45E+01,2.56E+01,1.88E+01,1.68E+01,2.58E+01,1.97E+01,1.20E+01,2.54E+01,1.62E+01,1.87E+01,2.12E+01,2.74E+01,1.67E+01,1.42E+01,1.91E+01,2.07E+01,2.76E+01,1.51E+01,2.17E+01,2.68E+01,1.39E+01,1.81E+01,1.38E+01,2.34E+01,1.83E+01,8.87E+00,1.76E+01,1.93E+01
10,9,8,9,7.04E+01,1.04E+01,4.31E+01,44,4.43E+01,4.62E+01,4.39E+01,3.95E+01,4.77E+01,4.22E+01,4.52E+01,4.85E+01,4.63E+01,4.25E+01,50,41,4.82E+01,40,4.62E+01,49,43,3.95E+01,4.57E+01,4.77E+01,42,47,4.47E+01,4.22E+01,46,4.38E+01,48,4.32E+01,4.47E+01,3.28E+01,2.06E+01,2.37E+01,2.85E+01,6.15E+01,5.61E+01,4.42E+01,2.64E+01,8.91E+01,2.74E+01,2.81E+01,2.42E+01,4.75E+01,3.07E+01,7.16E+01,2.02E+01,3.02E+01,4.23E+01,4.18E+01,3.50E+01,3.05E+01,2.78E+01,2.88E+01,2.88E+01,2.54E+01,3.63E+01,6.62E+01,2.18E+01,2.45E+01,4.04E+01,3.71E+01
10,9,10,5,1.76E-01,4.33E-02,24,2.72E+01,2.45E+01,3.32E+01,2.77E+01,29,2.55E+01,2.85E+01,2.25E+01,3.05E+01,26,2.85E+01,2.57E+01,31,27,2.82E+01,3.22E+01,3.02E+01,26,26,29,3.45E+01,2.25E+01,2.77E+01,25,2.65E+01,26,24,2.42E+01,23,2.72E+01,3.52E+00,1.26E+01,7.52E+00,7.58E+00,3.68E+00,1.30E+01,7.52E+00,9.03E+00,6.52E+00,1.10E+01,1.17E+01,5.52E+00,9.02E+00,1.96E+01,6.56E+00,9.06E+00,1.15E+01,3.02E+00,6.52E+00,1.19E+01,1.18E+01,9.18E+00,5.73E+00,9.02E+00,9.55E+00,1.30E+01,6.58E+00,6.55E+00,6.51E+00,4.71E+00,8.63E+00
10,9,10,6,2.26E+00,2.07E-01,3.35E+01,3.65E+01,3.55E+01,3.85E+01,3.55E+01,3.52E+01,42,36,3.55E+01,3.45E+01,3.55E+01,31,3.53E+01,3.55E+01,34,3.67E+01,3.45E+01,3.97E+01,3.72E+01,3.35E+01,37,3.67E+01,37,3.85E+01,3.02E+01,4.18E+01,3.63E+01,2.95E+01,3.42E+01,3.67E+01,3.58E+01,1.97E+01,1.10E+01,1.20E+01,1.81E+01,1.04E+01,8.53E+00,1.59E+01,1.74E+01,1.70E+01,1.80E+01,9.70E+00,9.76E+00,1.37E+01,1.51E+01,1.75E+01,1.45E+01,1.44E+01,1.38E+01,2.15E+01,1.33E+01,1.32E+01,1.25E+01,1.49E+01,1.25E+01,1.21E+01,1.52E+01,1.43E+01,1.75E+01,1.71E+01,1.72E+01,1.46E+01
10,9,10,7,1.05E+01,9.27E-01,44,4.75E+01,4.85E+01,4.45E+01,44,44,48,4.25E+01,4.35E+01,4.05E+01,4.33E+01,4.65E+01,47,4.15E+01,4.42E+01,4.45E+01,4.35E+01,47,4.85E+01,43,4.75E+01,4.75E+01,5.15E+01,4.25E+01,4.17E+01,42,4.27E+01,4.25E+01,47,3.95E+01,4.47E+01,2.60E+01,2.79E+01,1.82E+01,2.91E+01,3.04E+01,2.83E+01,2.19E+01,2.25E+01,3.15E+01,3.65E+01,1.81E+01,2.06E+01,2.61E+01,1.75E+01,2.42E+01,2.22E+01,1.99E+01,2.63E+01,2.67E+01,3.02E+01,2.26E+01,2.14E+01,2.53E+01,3.30E+01,1.65E+01,3.21E+01,2.48E+01,3.06E+01,2.02E+01,2.11E+01,2.51E+01
12,10,8,8,2.95E+00,4.68E-01,34,3.95E+01,3.67E+01,3.61E+01,38,3.89E+01,38,36,3.39E+01,37,3.78E+01,3.92E+01,38,3.67E+01,37,3.23E+01,4.17E+01,3.32E+01,4.15E+01,3.75E+01,3.62E+01,3.55E+01,3.67E+01,3.82E+01,3.92E+01,3.97E+01,4.37E+01,3.33E+01,3.44E+01,3.82E+01,3.73E+01,6.27E+00,1.72E+01,6.88E+00,7.87E+00,1.78E+01,1.26E+01,1.01E+01,9.36E+00,7.00E+00,7.21E+00,9.63E+00,7.19E+00,9.20E+00,8.93E+00,1.15E+01,6.30E+00,1.19E+01,4.56E+00,9.07E+00,1.49E+01,9.40E+00,8.25E+00,1.18E+01,1.53E+01,9.90E+00,1.05E+01,1.10E+01,1.51E+01,3.56E+00,1.67E+01,1.02E+01
12,10,8,9,1.05E+02,1.16E+01,4.37E+01,4.25E+01,4.64E+01,43,4.55E+01,4.27E+01,4.17E+01,4.33E+01,4.22E+01,4.02E+01,43,41,42,4.27E+01,4.68E+01,4.37E+01,4.45E+01,39,4.02E+01,4.33E+01,4.28E+01,3.67E+01,4.05E+01,4.32E+01,4.47E+01,4.38E+01,4.35E+01,4.85E+01,4.45E+01,4.27E+01,4.29E+01,1.82E+01,1.52E+01,1.00E+01,1.29E+01,7.88E+01,1.91E+01,1.41E+01,1.37E+01,1.97E+01,1.85E+01,7.32E+01,2.22E+01,1.19E+01,2.30E+01,1.61E+01,6.70E+00,1.27E+01,1.29E+01,9.08E+00,8.69E+01,1.19E+02,1.46E+01,1.25E+01,8.24E+00,1.85E+01,2.19E+01,1.18E+01,2.75E+01,1.31E+01,9.07E+00,2.50E+01
12,10,8,10,1.87E+02,3.00E+01,4.65E+01,4.47E+01,4.63E+01,4.72E+01,5.32E+01,4.95E+01,4.82E+01,5.28E+01,5.34E+01,4.88E+01,5.05E+01,51,51,4.63E+01,53,4.67E+01,4.88E+01,4.27E+01,4.52E+01,4.87E+01,4.68E+01,5.62E+01,4.85E+01,51,4.68E+01,4.55E+01,5.07E+01,5.55E+01,5.05E+01,5.15E+01,4.92E+01,1.53E+01,8.71E+01,2.16E+01,2.26E+01,5.47E+01,2.62E+01,2.58E+01,3.08E+01,1.74E+01,2.37E+01,1.54E+02,1.77E+01,2.88E+01,7.65E+01,2.81E+01,2.26E+01,5.95E+01,1.49E+01,1.98E+02,1.27E+02,1.54E+01,1.08E+02,2.15E+01,3.38E+01,2.07E+01,1.60E+01,1.54E+01,1.61E+02,3.00E+01,2.21E+01,4.99E+01
12,10,8,11,4.01E+03,3.73E+02,5.39E+01,52,5.43E+01,54,5.16E+01,5.12E+01,5.83E+01,58,5.14E+01,4.88E+01,5.05E+01,51,51,4.63E+01,53,4.67E+01,4.88E+01,4.27E+01,4.52E+01,4.87E+01,4.68E+01,5.62E+01,4.85E+01,51,4.68E+01,4.55E+01,5.07E+01,5.55E+01,5.05E+01,5.15E+01,5.07E+01,1.75E+02,4.03E+03,6.05E+01,2.41E+01,2.61E+01,3.24E+03,3.03E+03,3.49E+01,2.51E+01,2.37E+01,1.54E+02,1.77E+01,2.88E+01,7.65E+01,2.81E+01,2.26E+01,5.95E+01,1.49E+01,1.98E+02,1.27E+02,1.54E+01,1.08E+02,2.15E+01,3.38E+01,2.07E+01,1.60E+01,1.54E+01,1.61E+02,3.00E+01,2.21E+01,3.95E+02
12,10,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,10,10,8,1.12E+02,6.33E+00,4.97E+01,5.05E+01,4.97E+01,4.49E+01,52,4.45E+01,5.77E+01,5.16E+01,4.72E+01,5.25E+01,5.05E+01,5.02E+01,5.22E+01,4.87E+01,5.27E+01,48,50,4.68E+01,46,5.12E+01,4.63E+01,47,5.05E+01,53,5.23E+01,5.52E+01,4.57E+01,4.75E+01,4.75E+01,47,4.96E+01,2.11E+01,2.78E+01,1.83E+01,2.54E+01,1.92E+01,2.77E+01,2.54E+01,1.89E+01,1.75E+01,3.09E+01,3.46E+01,1.38E+02,4.98E+01,1.92E+01,3.20E+01,1.81E+01,1.75E+01,2.30E+01,1.47E+01,2.23E+01,2.54E+01,1.82E+01,3.35E+01,1.95E+01,2.31E+01,1.50E+01,2.70E+01,1.92E+01,1.98E+01,1.46E+01,2.72E+01
12,10,10,9,1.14E+02,6.39E+00,5.35E+01,5.52E+01,6.37E+01,5.85E+01,5.72E+01,5.42E+01,6.17E+01,62,5.55E+01,57,5.93E+01,6.35E+01,66,5.95E+01,5.77E+01,5.72E+01,5.48E+01,5.46E+01,6.02E+01,4.87E+01,5.66E+01,5.45E+01,59,63,4.95E+01,63,55,5.88E+01,58,6.03E+01,5.79E+01,3.50E+01,3.59E+01,3.17E+01,3.16E+01,2.90E+01,3.34E+01,3.17E+01,1.47E+02,3.76E+01,3.32E+01,3.33E+01,4.38E+01,3.66E+01,3.48E+01,3.37E+01,3.13E+01,3.07E+01,2.17E+01,3.95E+01,3.93E+01,2.52E+01,3.61E+01,3.29E+01,1.43E+01,2.82E+01,3.23E+01,1.21E+01,2.45E+01,3.53E+01,2.86E+01,3.53E+01
12,10,10,10,3.93E+03,5.68E+02,6.58E+01,6.45E+01,6.62E+01,6.89E+01,7.28E+01,7.52E+01,6.81E+01,68,59,6.75E+01,7.04E+01,6.68E+01,6.53E+01,6.72E+01,6.55E+01,6.42E+01,6.55E+01,7.37E+01,6.88E+01,63,63,7.02E+01,5.85E+01,6.92E+01,6.74E+01,7.05E+01,6.96E+01,6.52E+01,67,6.77E+01,6.72E+01,2.77E+01,4.73E+01,3.05E+01,7.83E+01,4.53E+01,1.38E+02,2.68E+03,4.14E+01,3.83E+01,1.89E+02,2.63E+03,6.65E+01,3.57E+01,4.75E+01,6.27E+01,3.67E+03,3.75E+01,6.51E+01,3.67E+03,4.68E+01,4.80E+01,4.19E+01,3.77E+01,1.42E+02,8.21E+01,3.97E+03,5.20E+01,5.17E+01,5.10E+01,1.05E+02,6.07E+02
12,10,10,11,3.93E+03,8.88E+02,7.45E+01,80,7.55E+01,7.27E+01,7.42E+01,8.32E+01,8.17E+01,6.52E+01,73,75,7.57E+01,73,7.05E+01,7.77E+01,7.74E+01,7.32E+01,7.17E+01,7.43E+01,6.95E+01,7.82E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.48E+01,5.51E+01,6.52E+01,7.02E+01,3.76E+03,4.51E+01,3.60E+03,1.14E+02,6.45E+01,9.12E+01,1.54E+02,6.99E+01,3.72E+03,9.08E+01,6.13E+01,7.05E+01,3.79E+03,1.28E+02,3.88E+03,3.73E+03,6.70E+01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.18E+03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
